thigh_Accel_X,thigh_Accel_Y,thigh_Accel_Z,thigh_Gyro_X,thigh_Gyro_Y,thigh_Gyro_Z,label_header,label_id
-1.146115082467266788e+00,1.429856803625262907e-01,2.980279511018358307e-01,1.270560236302164636e+00,-1.948207523241339834e-01,1.311068162115746283e+00,1.390000000000000036e+01,1.000000000000000000e+00
-1.186252680466548526e+00,1.280283964079972359e-01,2.645505108671813987e-01,1.150650049532495611e+00,-1.939835182037222272e-01,1.323351366734544232e+00,1.390499999999999936e+01,1.000000000000000000e+00
-1.232685552143631291e+00,1.176599314706517629e-01,2.283459862974285826e-01,1.019442208950209761e+00,-1.883452121718728334e-01,1.334841222547325401e+00,1.391000000000000014e+01,1.000000000000000000e+00
-1.272844991280992044e+00,1.209224948664769927e-01,1.904924271476155784e-01,9.191188100572789121e-01,-1.884592344936038277e-01,1.364069651825134732e+00,1.391499999999999915e+01,1.000000000000000000e+00
-1.314734732054974931e+00,1.352130093639817843e-01,1.585456023069921894e-01,8.530918432454845934e-01,-1.819363520096259068e-01,1.407736862101327979e+00,1.391999999999999993e+01,1.000000000000000000e+00
-1.349501747272621399e+00,1.613924438188586996e-01,1.296473745006710976e-01,8.107018430259189667e-01,-1.766695438104389226e-01,1.469044565047843864e+00,1.392500000000000071e+01,1.000000000000000000e+00
-1.378061769666871328e+00,1.835254679435307790e-01,1.053582810939636266e-01,8.151866235164805241e-01,-1.698580991556329078e-01,1.549381866159623922e+00,1.392999999999999972e+01,1.000000000000000000e+00
-1.409655542452401100e+00,2.086321661440928565e-01,6.161019934086477134e-02,8.132883829130197473e-01,-1.650988464140058509e-01,1.676985167110273345e+00,1.393500000000000050e+01,1.000000000000000000e+00
-1.433893190786826644e+00,2.382633288385928028e-01,2.671126092862735613e-02,8.678648246666681443e-01,-1.526732619159456572e-01,1.839947161058759884e+00,1.393999999999999950e+01,1.000000000000000000e+00
-1.431540262791672014e+00,2.647873385639748500e-01,-4.059238631072214186e-03,9.369222991922185884e-01,-1.334584693920710941e-01,2.017009117329775503e+00,1.394500000000000028e+01,1.000000000000000000e+00
-1.393648984266195656e+00,3.119661823163636938e-01,-3.289060617088655769e-02,1.076269635674994118e+00,-1.062752572144468194e-01,2.231920536230423302e+00,1.394999999999999929e+01,1.000000000000000000e+00
-1.367645891483918685e+00,3.584819211488899926e-01,-4.582649725442571736e-02,1.219244141875718945e+00,-7.608069966000198525e-02,2.343640482693149174e+00,1.395500000000000007e+01,1.000000000000000000e+00
-1.337438658393780289e+00,4.448028194812033709e-01,-5.636228411767127411e-02,1.420324350298942884e+00,9.625467682939821412e-04,2.423046872937959506e+00,1.396000000000000085e+01,1.000000000000000000e+00
-1.314441266340645509e+00,5.268851268203714744e-01,-6.749798212236807204e-02,1.648606896410137468e+00,1.054904981977439066e-01,2.531850515201107932e+00,1.396499999999999986e+01,1.000000000000000000e+00
-1.290596139584728075e+00,5.623466879428183907e-01,-6.076219691651311983e-02,1.848140489190245983e+00,2.080119899653418980e-01,2.651414129746616943e+00,1.397000000000000064e+01,1.000000000000000000e+00
-1.233406945502979246e+00,5.635199059080242545e-01,-3.544971215461362180e-02,1.977447345850130933e+00,3.262079152635133927e-01,2.677814431466475575e+00,1.397499999999999964e+01,1.000000000000000000e+00
-1.228131162479701555e+00,5.573942579277286757e-01,-8.917704951788266513e-03,1.958576061566701387e+00,3.770118176943283994e-01,2.674079247674454152e+00,1.398000000000000043e+01,1.000000000000000000e+00
-1.227141648228062376e+00,5.409100684760851374e-01,1.790388620899690739e-02,1.828779071240566712e+00,3.840336787249994388e-01,2.647254104433994115e+00,1.398499999999999943e+01,1.000000000000000000e+00
-1.214588279860232101e+00,5.063147639179524928e-01,4.115204205502133450e-02,1.658409993498037416e+00,3.697525370148190271e-01,2.621515157779358951e+00,1.399000000000000021e+01,1.000000000000000000e+00
-1.208739595661362909e+00,4.739307094979203216e-01,7.299832680390927475e-02,1.416079982963997841e+00,3.419228077949595379e-01,2.617931245762905590e+00,1.399499999999999922e+01,1.000000000000000000e+00
-1.208601699522990902e+00,4.020118569871797831e-01,1.083220621443193310e-01,1.176755706180844463e+00,2.752799131483660289e-01,2.616450802332924930e+00,1.400000000000000000e+01,1.000000000000000000e+00
-1.190383981220321186e+00,2.943651221878118007e-01,1.206494994666919840e-01,1.062955497645645453e+00,2.010822982347531540e-01,2.589112007466473742e+00,1.400500000000000078e+01,1.000000000000000000e+00
-1.156812052450758355e+00,1.840863409414690566e-01,1.196816769196897140e-01,9.940978366077549699e-01,1.140716509776772275e-01,2.513504517825920992e+00,1.400999999999999979e+01,1.000000000000000000e+00
-1.109681034570744185e+00,6.531062504570836480e-02,9.877196052908693291e-02,9.961941655063869527e-01,3.110764465661643163e-02,2.396658508690907130e+00,1.401500000000000057e+01,1.000000000000000000e+00
-1.048978197189487815e+00,-6.281469302087538953e-02,5.727923792640031431e-02,1.063587698936756309e+00,-6.252708641046794691e-02,2.253790266867699010e+00,1.401999999999999957e+01,1.000000000000000000e+00
-9.902325809917388311e-01,-1.698798656524747042e-01,2.673325342548897587e-02,1.107400654440904741e+00,-1.227920715192694634e-01,2.168079496804933282e+00,1.402500000000000036e+01,1.000000000000000000e+00
-9.322293858020971324e-01,-2.609465754212233479e-01,1.601066487815190620e-02,1.073794657493065907e+00,-1.684372522815768825e-01,2.048550605290259785e+00,1.402999999999999936e+01,1.000000000000000000e+00
-9.018846393800071803e-01,-3.042493422140116754e-01,2.096134816781306670e-02,9.344530235808234941e-01,-1.928916655876192210e-01,1.937386941694679621e+00,1.403500000000000014e+01,1.000000000000000000e+00
-8.851506686077240671e-01,-2.898541433262290523e-01,3.996663863488041091e-02,7.487021091211065738e-01,-1.942205939668167625e-01,1.798629310535806436e+00,1.403999999999999915e+01,1.000000000000000000e+00
