thigh_Accel_X,thigh_Accel_Y,thigh_Accel_Z,thigh_Gyro_X,thigh_Gyro_Y,thigh_Gyro_Z,label_header,label_id
-9.717839525359719399e-01,-8.055464707089035614e-02,1.901280133311323006e-01,-2.289629586766542546e-01,7.618061887612689875e-02,-5.156287287627531191e-01,1.531300000000000061e+01,8.000000000000000000e+00
-9.572845468365918098e-01,-1.002808521314749735e-01,1.966969301069888820e-01,-1.824288542423492532e-01,1.266331451038084643e-01,-5.832157938207509495e-01,1.536299999999999955e+01,8.000000000000000000e+00
-9.890075218483399544e-01,-3.798462847954788696e-02,1.526214773687565029e-01,-2.366921909611695019e-01,2.203381338971797110e-01,-5.347694538902797445e-01,1.541200000000000081e+01,8.000000000000000000e+00
-9.639626931383148412e-01,-8.646255931589419408e-02,1.884912452100866997e-01,-5.663316786271088699e-01,1.809708452044613280e-01,-4.182170317533704385e-01,1.546299999999999919e+01,8.000000000000000000e+00
-9.743983857710715180e-01,-1.367868328122775201e-01,1.097955539804861547e-01,-4.171429143123776551e-01,1.804798786092885743e-01,-2.715352131956215165e-01,1.551200000000000045e+01,8.000000000000000000e+00
-9.838461995976273133e-01,-1.574276577759622930e-01,1.298706678955834914e-01,-4.550415083274437222e-01,7.016448602388539180e-02,-1.428681314143585568e-01,1.556300000000000061e+01,8.000000000000000000e+00
-1.008938680891213302e+00,-1.340320604930043125e-01,7.975501366663134695e-02,-6.450172726571581361e-01,6.736034027618600928e-02,-1.136120638344137318e-01,1.561299999999999955e+01,8.000000000000000000e+00
-1.183242564688186116e+00,-1.050472093641557914e-01,1.969357846939199796e-01,-5.515666489976716047e-01,1.180002477335080624e-01,-2.650070965396689182e-02,1.566200000000000081e+01,8.000000000000000000e+00
-1.147478014473735985e+00,6.668045173741464840e-03,2.521203264239165742e-01,-2.724769231609128900e-02,1.048191236219343514e-01,3.436028083123087162e-01,1.571299999999999919e+01,8.000000000000000000e+00
-1.094240018860761499e+00,7.925727033963221591e-02,3.199497709979134269e-02,6.512021265464019715e-01,7.279944699990502366e-02,1.046097128986055225e+00,1.576200000000000045e+01,8.000000000000000000e+00
-1.049356958873985279e+00,1.550455346297935078e-01,-1.670884543458084071e-01,3.404068485997069904e-01,3.337777580044579695e-01,1.821060700918230690e+00,1.581300000000000061e+01,8.000000000000000000e+00
-1.127662523464075806e+00,-5.066734039345530821e-02,-1.258039716414963236e-03,-6.143349623299440010e-01,7.030067662422853636e-02,1.888947331622517156e+00,1.586299999999999955e+01,8.000000000000000000e+00
-1.161619662754668214e+00,-2.482955697905846471e-01,2.448199208614817990e-01,3.261812687224785456e-02,-1.966494599085589767e-01,1.793878884474727098e+00,1.591200000000000081e+01,8.000000000000000000e+00
-1.065520331802790599e+00,-7.226414157552060735e-02,6.032388724014643711e-02,1.275126158780727215e+00,-2.928025476458818721e-01,1.506770586202863971e+00,1.596299999999999919e+01,8.000000000000000000e+00
-9.733014313783593385e-01,7.055978992693380525e-02,-1.142233544282307972e-01,1.047823058345210390e+00,-2.200404336797770477e-01,1.305156808193050022e+00,1.601200000000000045e+01,8.000000000000000000e+00
-8.795486650464008349e-01,3.362603696119265129e-02,-1.836098884043360982e-02,4.775143823100589380e-01,-2.614176086807398214e-01,9.404352143292508126e-01,1.606200000000000117e+01,8.000000000000000000e+00
-7.763561552806633737e-01,9.639439951891169700e-03,-3.806779325624888577e-02,3.633991472002128242e-01,-1.322949806931383032e-01,4.814460995124824616e-01,1.611299999999999955e+01,8.000000000000000000e+00
-6.896570740734084826e-01,6.672876980939115854e-02,-5.592851254389698268e-02,-2.088581841011898782e-02,-1.206893549700181340e-01,-1.534172623191799034e-01,1.616300000000000026e+01,8.000000000000000000e+00
-8.080874509158324503e-01,2.245459665974524621e-01,1.039798716573754750e-01,3.783149143445645457e-01,-1.171138008117771079e-01,-7.888819988955597662e-01,1.621199999999999974e+01,8.000000000000000000e+00
-1.055479120204179333e+00,6.387988249343694580e-01,4.739628262442529411e-02,1.047158437216522409e-01,-8.548780410316661471e-02,-5.211047071004566433e-01,1.626200000000000045e+01,8.000000000000000000e+00
-1.060291136277945245e+00,6.263598744390193040e-01,8.343281395707476122e-02,-7.717066710261667739e-02,1.438988213693477014e-01,-2.210332089658583743e-01,1.631200000000000117e+01,8.000000000000000000e+00
-8.915783658913591925e-01,3.040913722952577891e-01,3.520288039401516661e-02,2.417138382867164703e-01,-5.900184285415834007e-02,-1.153803776922101704e-01,1.636299999999999955e+01,8.000000000000000000e+00
-1.151951416332489986e+00,3.234953458932071646e-02,-6.908731765427232607e-02,-3.618955424756505335e-01,1.142056298533404152e-01,-6.074045243241950054e-01,1.641300000000000026e+01,8.000000000000000000e+00
-1.150139074091319547e+00,1.713828877034873355e-01,1.043745280924117252e-01,4.607061590769258030e-01,5.820790376342532824e-02,-4.819077136594970279e-01,1.646199999999999974e+01,8.000000000000000000e+00
-9.355491358681368164e-01,1.808777278534773603e-01,1.073052474483292829e-01,3.933833421215818804e-01,-2.264176146916191124e-01,-3.903613279601775288e-01,1.651200000000000045e+01,8.000000000000000000e+00
-9.024324643012681113e-01,-1.239677814215016244e-01,5.721181701879964401e-04,-8.535794107485923377e-01,-2.129843719575201799e-01,-1.040244772212243429e+00,1.656200000000000117e+01,8.000000000000000000e+00
-1.006714469619838681e+00,9.711781369238786654e-02,4.676680925667779654e-02,2.611672596192902707e-01,4.163322661354693782e-02,-4.074852485809952185e-01,1.661299999999999955e+01,8.000000000000000000e+00
-9.725780079015853286e-01,-6.825288334902500798e-04,2.265892884950114206e-01,-2.017352315013303810e-01,-1.325653189462555007e-03,-6.229950393569335665e-01,1.666300000000000026e+01,8.000000000000000000e+00
-9.499054036774738918e-01,-6.978315575349405830e-02,1.809568657331905306e-01,-9.639891376322376471e-02,-7.349829383826012204e-03,-7.114482320747002042e-01,1.671199999999999974e+01,8.000000000000000000e+00
-9.725768794318871979e-01,-5.984014581663936461e-02,1.034924352559282862e-01,-2.719066314507427862e-01,8.657162298426863967e-02,-7.561379345094809690e-01,1.676200000000000045e+01,8.000000000000000000e+00
