label_header;thigh_Accel_X;thigh_Accel_Y;thigh_Accel_Z;thigh_Gyro_X;thigh_Gyro_Y;thigh_Gyro_Z;label_id
25.8630;-1.0869887;0.2887324;0.0608626;0.0490458;0.2377722;-0.5783953;8
25.9130;-0.9161381;0.2072847;0.0570901;-0.0556588;-0.0102074;-0.4079293;8
25.9620;-0.9504986;-0.1324816;0.1039526;-0.9040466;-0.0278225;-0.7501345;8
26.0120;-1.0411420;0.2138657;0.0786396;-0.4042651;0.0456039;-0.4797990;8
26.0620;-0.9082516;-0.1528474;0.1094217;-0.2889239;0.2183757;-0.5395067;8
26.1130;-0.9975764;-0.0815073;0.2521284;-0.0211665;0.0605320;-0.6714790;8
26.1630;-0.9758633;-0.0419230;0.1398859;-0.1615976;0.0961105;-0.6497569;8
26.2120;-0.9924396;-0.0594359;0.0908461;-0.0525302;0.0929402;-0.5537504;8
26.2620;-0.9981470;-0.0424577;0.0812541;-0.0443965;0.0564719;-0.4572970;8
26.3120;-0.9698973;-0.0919302;0.1341255;-0.2661436;0.0790377;-0.4450518;8
26.3630;-0.9662296;-0.1223902;0.1065784;0.0672376;0.0978144;-0.4714878;8
26.4130;-0.9746350;-0.1167298;0.0960426;0.1056045;0.2139846;-0.4412812;8
26.4620;-0.9939213;-0.0691300;0.0833182;-0.1244066;0.1540692;-0.5499842;8
26.5120;-1.0009568;-0.1603504;0.1428835;-0.6615786;0.1537565;-0.3724800;8
26.5620;-0.9945482;-0.1799811;0.1087831;-0.7727470;0.1437399;-0.3260535;8
26.6130;-1.1375734;-0.1485979;0.2209564;-0.4001109;0.1692976;-0.2871882;8
26.6630;-1.1646974;0.0151745;0.2500472;0.3303668;0.0640716;0.1206848;8
26.7120;-1.0881179;0.0299470;0.0737815;0.4119753;-0.0033611;0.7224403;8
26.7620;-1.0223821;0.0781646;-0.1081523;0.4902956;0.1774988;1.3222862;8
