Header;foot_Accel_X;foot_Accel_Y;foot_Accel_Z;foot_Gyro_X;foot_Gyro_Y;foot_Gyro_Z;shank_Accel_X;shank_Accel_Y;shank_Accel_Z;shank_Gyro_X;shank_Gyro_Y;shank_Gyro_Z;thigh_Accel_X;thigh_Accel_Y;thigh_Accel_Z;thigh_Gyro_X;thigh_Gyro_Y;thigh_Gyro_Z;trunk_Accel_X;trunk_Accel_Y;trunk_Accel_Z;trunk_Gyro_X;trunk_Gyro_Y;trunk_Gyro_Z;Label;
5.3;-0.247810976;-0.057162899;0.97316281;-0.02006247;-0.001434564;0.023738182;-1.000916121;-0.049031106;0.05576796;-0.084548215;-0.036803848;0.003954232;-0.999661915;-0.039529985;-0.079203445;0.011430078;0.040304938;-0.001215397;-0.962500668;-0.045655954;0.249861377;-0.012101385;0.008820732;0.006812677;stand;2
5.4;-0.254637002;-0.062849943;0.966571081;-0.018477746;0.000516223;0.02501107;-0.995728665;-0.047683324;0.06990428;0.027764322;-0.010079223;-0.007559476;-0.995240115;-0.042653311;-0.073833612;0.016102068;0.040272298;-0.001158387;-0.970305419;-0.041141401;0.235178262;-0.010964454;0.01210246;0.008894511;stand;2
5.5;-0.254595435;-0.082117088;0.954840656;-0.023978123;-0.001844673;0.020347247;-0.995697914;-0.037888189;0.07053829;-0.071084737;-0.030717289;0.003907293;-0.992663902;-0.057418883;-0.099700106;0.008984138;0.039813516;-0.001202402;-0.972758561;-0.019525744;0.275484197;-0.000428369;0.025531981;0.000193603;stand;2
5.6;-0.257079357;-0.044357551;0.973724918;-0.026270368;-0.001490225;0.019209157;-0.992749616;-0.058527974;0.073657387;-0.03328532;-3.02113E-05;-0.000987539;-0.993896405;-0.041095075;-0.061003201;0.000770822;0.036016422;6.67E-03;-0.968253913;-0.021600082;0.270499464;-0.006923404;0.028133495;-0.014109286;stand;2
5.7;-0.245336427;-0.067165164;0.968885547;-0.020380927;-0.002603257;0.021231416;-1.004781809;-0.050982203;0.061228099;0.014330275;-0.023418788;-0.009210398;-1.005098939;-0.05292939;-0.083699553;0.000433945;0.04040341;0.002924441;-0.968582523;-0.023655332;0.263781622;-0.048861462;-0.044278557;-0.006937818;stand;2
5.8;-0.253936353;-0.058602758;0.963996236;-0.023926536;-0.003531862;0.019391678;-0.99560961;-0.050460428;0.065991256;0.046643239;-0.001281375;-0.006919275;-0.991534444;-0.048090001;-0.088943582;0.00828657;0.039529634;0.003541636;-0.975023352;-0.027483262;0.286137341;-0.038831301;0.026476263;-0.008975551;stand;2
5.9;-0.256736069;-0.069466836;0.960984064;-0.025356819;-0.004261297;0.017857954;-0.991391437;-0.046081539;0.077473666;0.013295886;-0.029156875;-0.003780484;-0.992245465;-0.050569384;-0.075945101;0.013191525;0.041495123;0.006449525;-0.973688276;-0.027423295;0.272902165;-0.070783527;0.024002979;-0.006901337;stand;2
6;-0.257203188;-0.063838764;0.966437693;-0.024336309;-0.002407119;0.020684101;-0.996463054;-0.050090146;0.078165596;-0.002045041;-0.016184915;-0.006562796;-0.99710168;-0.047001407;-0.071645157;0.028639197;0.047720413;0.00515327;-0.970612537;-0.032700006;0.270541641;-0.049968072;0.001877825;-0.000383959;stand;3
6.1;-0.265632668;-0.05857224;0.967054481;-0.025892288;-0.001496905;0.020360544;-0.994379687;-0.045211421;0.080375782;0.05751708;-0.001527981;-0.006448808;-0.996364938;-0.044565284;-0.069249446;0.018980701;0.048056972;0.007509707;-0.970571873;-0.034327562;0.266262567;-0.062235448;-0.042774598;0.005807922;stand;3
6.2;-0.240739097;-0.088102675;0.960735399;-0.020589374;-0.004024552;0.020087016;-0.993987302;-0.052980269;0.078334171;-0.00384673;-0.004521086;0.004001167;-0.994310095;-0.055487111;-0.076304602;0.002285639;0.040576449;0.011069165;-0.970594149;-0.039329017;0.276608852;-0.050454425;-0.071563092;0.002455727;stand;3
